12/08/2017,Demand
City,Leads
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",774
"Houston-The Woodlands-Sugar Land, TX (Metro)",468
"Los Angeles-Long Beach-Anaheim, CA (Metro)",446
"Dallas-Fort Worth-Arlington, TX (Metro)",421
New York,401
Philadelphia,391
"Riverside-San Bernardino-Ontario, CA (Metro)",236
"Seattle-Tacoma-Bellevue, WA (Metro)",233
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",230
"San Antonio-New Braunfels, TX (Metro)",202
Pittsburgh,192
"San Francisco-Oakland-Hayward, CA (Metro)",192
Boston,188
"Tampa-St. Petersburg-Clearwater, FL (Metro)",173
"Las Vegas-Henderson-Paradise, NV (Metro)",168
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",163
"Columbus, OH (Metro)",150
"Cleveland-Elyria, OH (Metro)",139
"Akron, OH (Metro)",136
"San Diego-Carlsbad, CA (Metro)",130
"Orlando-Kissimmee-Sanford, FL (Metro)",109
"Cincinnati, OH-KY-IN (Metro)",100
"Phoenix-Mesa-Scottsdale, AZ (Metro)",99
"Jacksonville, FL (Metro)",91
"Worcester, MA-CT (Metro)",91
"Fresno, CA (Metro)",83
"Spokane-Spokane Valley, WA (Metro)",83
"Tucson, AZ (Metro)",82
"Tallahassee, FL (Metro)",78
"Springfield, MA (Metro)",77
"Toledo, OH (Metro)",77
"Stockton-Lodi, CA (Metro)",75
"Lakeland-Winter Haven, FL (Metro)",74
"El Paso, TX (Metro)",72
"Lubbock, TX (Metro)",72
"North Port-Sarasota-Bradenton, FL (Metro)",71
"Cape Coral-Fort Myers, FL (Metro)",69
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",67
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",65
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",62
"Salinas, CA (Metro)",62
"Beaumont-Port Arthur, TX (Metro)",61
"Erie, PA (Metro)",60
"Visalia-Porterville, CA (Metro)",60
"Youngstown-Warren-Boardman, OH-PA (Metro)",60
"Corpus Christi, TX (Metro)",58
"Pensacola-Ferry Pass-Brent, FL (Metro)",57
"Bakersfield, CA (Metro)",56
"St. Louis, MO-IL (Metro)",56
"Naples-Immokalee-Marco Island, FL (Metro)",55
"Ocala, FL (Metro)",55
"Denver-Aurora-Lakewood, CO (Metro)",53
"Wheeling, WV-OH (Metro)",53
"Dayton, OH (Metro)",50
"Palatka, FL (Micro)",50
"Reading, PA (Metro)",50
"Greeley, CO (Metro)",49
"Kennewick-Richland, WA (Metro)",48
"Panama City, FL (Metro)",48
"Gainesville, FL (Metro)",47
"Palm Bay-Melbourne-Titusville, FL (Metro)",47
"York-Hanover, PA (Metro)",46
"East Stroudsburg, PA (Metro)",45
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",45
"Lake Havasu City-Kingman, AZ (Metro)",44
"Carbondale-Marion, IL (Metro)",43
"Austin-Round Rock, TX (Metro)",41
