"zip","city"
1001,"Springfield, MA (Metro)"
1002,"Greenfield Town, MA (Micro)"
1002,"Springfield, MA (Metro)"
1003,"Springfield, MA (Metro)"
1005,"Worcester, MA-CT (Metro)"
1007,"Springfield, MA (Metro)"
1008,"Springfield, MA (Metro)"
1009,"Springfield, MA (Metro)"
1010,"Springfield, MA (Metro)"
1011,"Springfield, MA (Metro)"
1012,"Springfield, MA (Metro)"
1013,"Springfield, MA (Metro)"
1020,"Springfield, MA (Metro)"
1022,"Springfield, MA (Metro)"
1026,"Springfield, MA (Metro)"
1027,"Springfield, MA (Metro)"
1028,"Springfield, MA (Metro)"
1029,"Pittsfield, MA (Metro)"
1030,"Springfield, MA (Metro)"
1031,"Worcester, MA-CT (Metro)"
1032,"Springfield, MA (Metro)"
1033,"Springfield, MA (Metro)"
1034,"Springfield, MA (Metro)"
1035,"Springfield, MA (Metro)"
1036,"Springfield, MA (Metro)"
1037,"Worcester, MA-CT (Metro)"
1038,"Springfield, MA (Metro)"
1039,"Greenfield Town, MA (Micro)"
1039,"Springfield, MA (Metro)"
1040,"Springfield, MA (Metro)"
1050,"Springfield, MA (Metro)"
1053,"Springfield, MA (Metro)"
1054,"Greenfield Town, MA (Micro)"
1056,"Springfield, MA (Metro)"
1057,"Springfield, MA (Metro)"
1060,"Springfield, MA (Metro)"
1062,"Springfield, MA (Metro)"
1063,"Springfield, MA (Metro)"
1066,"Springfield, MA (Metro)"
1068,"Worcester, MA-CT (Metro)"
1069,"Springfield, MA (Metro)"
1070,"Springfield, MA (Metro)"
1071,"Springfield, MA (Metro)"
1072,"Greenfield Town, MA (Micro)"
1073,"Springfield, MA (Metro)"
1074,"Worcester, MA-CT (Metro)"
1075,"Springfield, MA (Metro)"
1077,"Springfield, MA (Metro)"
1079,"Springfield, MA (Metro)"
1080,"Springfield, MA (Metro)"
1081,"Springfield, MA (Metro)"
1082,"Springfield, MA (Metro)"
1082,"Worcester, MA-CT (Metro)"
1083,"Worcester, MA-CT (Metro)"
1084,"Springfield, MA (Metro)"
1085,"Springfield, MA (Metro)"
1086,"Springfield, MA (Metro)"
1088,"Springfield, MA (Metro)"
1089,"Springfield, MA (Metro)"
1092,"Worcester, MA-CT (Metro)"
1093,"Greenfield Town, MA (Micro)"
1094,"Worcester, MA-CT (Metro)"
1095,"Springfield, MA (Metro)"
1096,"Springfield, MA (Metro)"
1097,"Springfield, MA (Metro)"
1098,"Springfield, MA (Metro)"
1103,"Springfield, MA (Metro)"
1104,"Springfield, MA (Metro)"
1105,"Springfield, MA (Metro)"
1106,"Springfield, MA (Metro)"
1107,"Springfield, MA (Metro)"
1108,"Springfield, MA (Metro)"
1109,"Springfield, MA (Metro)"
1118,"Springfield, MA (Metro)"
1119,"Springfield, MA (Metro)"
1128,"Springfield, MA (Metro)"
1129,"Springfield, MA (Metro)"
1151,"Springfield, MA (Metro)"
1199,"Springfield, MA (Metro)"
1201,"Pittsfield, MA (Metro)"
1220,"Pittsfield, MA (Metro)"
1222,"Pittsfield, MA (Metro)"
1223,"Pittsfield, MA (Metro)"
1224,"Pittsfield, MA (Metro)"
1225,"Pittsfield, MA (Metro)"
1226,"Pittsfield, MA (Metro)"
1229,"Pittsfield, MA (Metro)"
1230,"Pittsfield, MA (Metro)"
1235,"Pittsfield, MA (Metro)"
1236,"Pittsfield, MA (Metro)"
1237,"Pittsfield, MA (Metro)"
1238,"Pittsfield, MA (Metro)"
1240,"Pittsfield, MA (Metro)"
1242,"Pittsfield, MA (Metro)"
1243,"Springfield, MA (Metro)"
1244,"Pittsfield, MA (Metro)"
1245,"Pittsfield, MA (Metro)"
1247,"Pittsfield, MA (Metro)"
1253,"Pittsfield, MA (Metro)"
1254,"Pittsfield, MA (Metro)"
1255,"Pittsfield, MA (Metro)"
1256,"Pittsfield, MA (Metro)"
1257,"Pittsfield, MA (Metro)"
1258,"Pittsfield, MA (Metro)"
1259,"Pittsfield, MA (Metro)"
1260,"Pittsfield, MA (Metro)"
1262,"Pittsfield, MA (Metro)"
1264,"Pittsfield, MA (Metro)"
1266,"Pittsfield, MA (Metro)"
1267,"Pittsfield, MA (Metro)"
1270,"Pittsfield, MA (Metro)"
1301,"Greenfield Town, MA (Micro)"
1330,"Greenfield Town, MA (Micro)"
1331,"Worcester, MA-CT (Metro)"
1337,"Greenfield Town, MA (Micro)"
1338,"Greenfield Town, MA (Micro)"
1339,"Greenfield Town, MA (Micro)"
