12/05/2017,Demand
City,Leads
"Los Angeles-Long Beach-Anaheim, CA (Metro)",817
Philadelphia,593
New York,550
Boston,517
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",514
"Dallas-Fort Worth-Arlington, TX (Metro)",511
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",506
"San Francisco-Oakland-Hayward, CA (Metro)",506
"Houston-The Woodlands-Sugar Land, TX (Metro)",417
"Riverside-San Bernardino-Ontario, CA (Metro)",340
Pittsburgh,298
"Seattle-Tacoma-Bellevue, WA (Metro)",278
"Tampa-St. Petersburg-Clearwater, FL (Metro)",224
"Orlando-Kissimmee-Sanford, FL (Metro)",211
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",197
"San Diego-Carlsbad, CA (Metro)",196
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",187
"Columbus, OH (Metro)",175
"Cleveland-Elyria, OH (Metro)",174
"San Antonio-New Braunfels, TX (Metro)",170
"Worcester, MA-CT (Metro)",139
"Dayton, OH (Metro)",133
"Lakeland-Winter Haven, FL (Metro)",130
"Tucson, AZ (Metro)",127
"Fresno, CA (Metro)",124
"Denver-Aurora-Lakewood, CO (Metro)",122
"Spokane-Spokane Valley, WA (Metro)",121
"Beaumont-Port Arthur, TX (Metro)",119
"Jacksonville, FL (Metro)",108
"Visalia-Porterville, CA (Metro)",108
"Bakersfield, CA (Metro)",103
"Phoenix-Mesa-Scottsdale, AZ (Metro)",101
"Harrisburg-Carlisle, PA (Metro)",94
"Palm Bay-Melbourne-Titusville, FL (Metro)",93
"Cincinnati, OH-KY-IN (Metro)",92
"Las Vegas-Henderson-Paradise, NV (Metro)",89
"St. Louis, MO-IL (Metro)",89
"Springfield, MA (Metro)",82
"Toledo, OH (Metro)",81
"Peoria, IL (Metro)",76
"Akron, OH (Metro)",71
"Cape Coral-Fort Myers, FL (Metro)",71
"Stockton-Lodi, CA (Metro)",68
"Youngstown-Warren-Boardman, OH-PA (Metro)",66
"Longview, TX (Metro)",65
"Scranton--Wilkes-Barre--Hazleton, PA (Metro)",63
"North Port-Sarasota-Bradenton, FL (Metro)",62
"Salinas, CA (Metro)",62
"Santa Rosa, CA (Metro)",61
"Austin-Round Rock, TX (Metro)",60
"Olympia-Tumwater, WA (Metro)",60
"York-Hanover, PA (Metro)",59
"Deltona-Daytona Beach-Ormond Beach, FL (Metro)",58
"Oxnard-Thousand Oaks-Ventura, CA (Metro)",58
"Lake Havasu City-Kingman, AZ (Metro)",56
"Modesto, CA (Metro)",55
"Corpus Christi, TX (Metro)",54
"Colorado Springs, CO (Metro)",52
"El Paso, TX (Metro)",51
