12/07/2017,Demand
City,Leads
"Los Angeles-Long Beach-Anaheim, CA (Metro)",998
"Houston-The Woodlands-Sugar Land, TX (Metro)",495
New York,492
"Chicago-Naperville-Elgin, IL-IN-WI (Metro)",460
"Dallas-Fort Worth-Arlington, TX (Metro)",450
Philadelphia,438
"Miami-Fort Lauderdale-West Palm Beach, FL (Metro)",343
Boston,312
"San Francisco-Oakland-Hayward, CA (Metro)",278
"Riverside-San Bernardino-Ontario, CA (Metro)",274
"San Antonio-New Braunfels, TX (Metro)",237
"Seattle-Tacoma-Bellevue, WA (Metro)",228
"Tampa-St. Petersburg-Clearwater, FL (Metro)",221
"Cleveland-Elyria, OH (Metro)",220
"Columbus, OH (Metro)",208
"San Jose-Sunnyvale-Santa Clara, CA (Metro)",193
"Las Vegas-Henderson-Paradise, NV (Metro)",191
"Orlando-Kissimmee-Sanford, FL (Metro)",169
Pittsburgh,152
"Sacramento--Roseville--Arden-Arcade, CA (Metro)",143
"Fresno, CA (Metro)",137
"Cincinnati, OH-KY-IN (Metro)",120
"Austin-Round Rock, TX (Metro)",109
"Jacksonville, FL (Metro)",98
"El Paso, TX (Metro)",96
"Beaumont-Port Arthur, TX (Metro)",90
"Erie, PA (Metro)",88
"San Diego-Carlsbad, CA (Metro)",84
"Spokane-Spokane Valley, WA (Metro)",82
"Toledo, OH (Metro)",81
"Bakersfield, CA (Metro)",74
"Greeley, CO (Metro)",69
"Springfield, MA (Metro)",69
"Visalia-Porterville, CA (Metro)",69
"Worcester, MA-CT (Metro)",68
"Pensacola-Ferry Pass-Brent, FL (Metro)",67
"Lakeland-Winter Haven, FL (Metro)",66
"Phoenix-Mesa-Scottsdale, AZ (Metro)",65
"Lubbock, TX (Metro)",64
"Ocala, FL (Metro)",64
"Modesto, CA (Metro)",63
"St. Louis, MO-IL (Metro)",63
"Cape Coral-Fort Myers, FL (Metro)",62
"Providence-Warwick, RI-MA (Metro)",62
"Youngstown-Warren-Boardman, OH-PA (Metro)",60
"Denver-Aurora-Lakewood, CO (Metro)",58
"Killeen-Temple, TX (Metro)",57
"North Port-Sarasota-Bradenton, FL (Metro)",56
"Palatka, FL (Micro)",56
"Portland-Vancouver-Hillsboro, OR-WA (Metro)",56
"Panama City, FL (Metro)",54
"Dayton, OH (Metro)",53
"Homosassa Springs, FL (Metro)",49
"Stockton-Lodi, CA (Metro)",49
"Akron, OH (Metro)",48
"Peoria, IL (Metro)",48
"Tucson, AZ (Metro)",45
"Allentown-Bethlehem-Easton, PA-NJ (Metro)",44
"Ottawa-Peru, IL (Micro)",44
"Palm Bay-Melbourne-Titusville, FL (Metro)",42
"Wheeling, WV-OH (Metro)",42
"Yakima, WA (Metro)",42
"East Stroudsburg, PA (Metro)",39
"Olympia-Tumwater, WA (Metro)",39
"Crestview-Fort Walton Beach-Destin, FL (Metro)",38
